Sampler:TPESampler
(47, 189, 173), 42.0
(54, 190, 170), 46.0
(58, 185, 176), 44.0
(73, 185, 175), 44.0
(40, 199, 175), 77.0
(34, 197, 175), 80.0
(16, 191, 183), 52.0
(27, 200, 180), 56.0
(74, 193, 173), 40.0
(42, 183, 179), 40.0
(62, 200, 163), 77.0
(48, 173, 184), 44.0
(60, 186, 173), 54.0
(62, 194, 171), 56.0
(60, 196, 176), 38.0
(60, 191, 181), 50.0
(48, 196, 175), 61.0
(77, 197, 171), 60.0
(53, 197, 181), 46.0
(44, 190, 185), 44.0
(56, 187, 176), 46.0
(48, 212, 181), 42.0
(34, 200, 177), 46.0
(65, 194, 191), 58.0
(119, 194, 187), 60.0
(79, 196, 177), 62.0
(11, 211, 177), 50.0
(57, 211, 172), 66.0
(27, 234, 167), 44.0
(68, 199, 170), 48.0
(12, 202, 182), 40.0
(29, 213, 157), 52.0
(65, 206, 175), 36.0
(38, 232, 168), 52.0
(1, 221, 189), 58.0
(13, 240, 187), 56.0
(82, 207, 167), 50.0
(11, 217, 170), 48.0
